gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000185651	296.48	336.79	330.2	383.0	187.33	231.4	145.65	254.93
ENSG00000185666	4534.3	5747.38	3772.11	5945.03	8349.16	5991.44	6771.21	6646.24
ENSG00000185686	252.05	354.91	372.12	231.14	1382.21	1458.46	1466.16	1903.34
ENSG00000185721	1186.13	1139.11	889.96	928.24	1325.79	1059.12	1047.14	1164.85
ENSG00000185837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000185838	1317.08	1459.18	1203.86	1083.41	1139.62	1312.31	1142.64	1528.51
ENSG00000186575	254.41	223.7	387.52	381.97	1729.56	1181.31	1263.27	1383.43
ENSG00000186654	9538.18	7795.46	8207.45	8006.26	11204.02	10443.24	9773.13	10212.91
ENSG00000186716	1607.84	1551.15	1562.99	1629.09	1513.03	1587.97	1397.12	1342.12
ENSG00000186732	2135.0	2569.68	1659.62	2853.97	2783.23	2944.92	2575.84	2219.72
ENSG00000186951	3590.9	4552.26	3702.86	3411.25	3185.85	3630.5	2766.13	3417.42
ENSG00000186976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000186998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187860	1543.72	1756.08	1542.47	1498.63	1576.82	1372.4	1222.78	1356.59
ENSG00000187905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188064	1538.25	1241.6	970.54	1274.54	1262.64	1021.07	924.2	1303.51
ENSG00000188078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188130	1085.18	807.33	975.25	1093.29	1413.34	1514.38	1023.99	1278.23
ENSG00000188263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188636	112.39	180.17	258.74	256.09	196.18	283.6	203.67	216.68
ENSG00000188677	5913.63	6382.22	6269.25	6521.15	6003.41	5438.64	4621.28	5722.56
ENSG00000189060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000189269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
