id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000179750	458	436	369	375	248	305	327	240
ENSG00000180957	122	124	187	160	303	315	383	372
ENSG00000182541	591	626	621	610	483	416	388	344
ENSG00000182858	108	130	132	79	143	116	115	109
ENSG00000182944	1044	996	945	881	968	966	855	813
ENSG00000183307	453	523	525	449	322	369	334	345
ENSG00000183569	63	83	85	71	109	64	56	77
ENSG00000183579	1274	1415	1363	1487	1008	1144	1071	1076
ENSG00000183597	342	198	306	284	275	330	330	311
ENSG00000183628	75	70	76	95	90	80	65	82
ENSG00000183765	539	400	567	469	691	754	642	697
ENSG00000183773	1162	1279	1285	1249	1190	1293	1070	1191
ENSG00000183785	206	285	212	166	220	197	268	222
ENSG00000183963	595	583	476	591	636	707	632	791
ENSG00000184058	221	201	209	152	212	208	213	190
ENSG00000184113	141	168	178	157	184	172	227	198
ENSG00000184117	309	320	306	332	317	260	257	356
ENSG00000184381	2715	2846	2876	2941	2729	2700	2635	2497
ENSG00000184459	264	264	362	261	270	366	359	322
ENSG00000184470	267	247	286	243	369	384	387	387
ENSG00000184571	388	422	466	427	465	469	482	427
ENSG00000184702	303	363	361	301	220	162	202	178
ENSG00000184792	1601	1411	1421	1471	1242	1372	1304	1166
ENSG00000184979	0	1	1	0	0	1	0	0
ENSG00000184983	179	170	170	203	182	160	186	152
ENSG00000185022	196	231	182	197	250	220	231	203
ENSG00000185133	411	443	364	388	380	299	347	433
ENSG00000185252	7	11	11	34	60	68	38	46
ENSG00000185264	319	374	352	323	345	263	318	271
ENSG00000185339	735	667	770	696	819	732	742	706
ENSG00000185386	281	273	276	248	334	304	308	341
ENSG00000185651	88	98	104	117	57	72	49	80
ENSG00000185666	415	435	425	566	696	537	671	599
ENSG00000185686	51	64	79	48	281	282	295	378
ENSG00000185721	187	175	146	151	213	173	186	191
ENSG00000185838	122	132	117	102	107	127	118	150
ENSG00000186575	59	55	100	97	422	303	325	321
ENSG00000186654	868	695	800	736	1023	946	946	934
ENSG00000186716	801	747	818	834	766	820	781	698
ENSG00000186732	347	347	280	378	456	526	422	378
ENSG00000186951	409	443	401	418	343	362	354	350
ENSG00000187860	475	463	486	452	483	438	425	436
ENSG00000188064	205	236	162	180	204	202	165	204
ENSG00000188130	146	106	139	150	195	213	160	181
ENSG00000188636	65	101	157	152	115	170	132	131
ENSG00000188677	580	553	570	626	601	542	518	597
ENSG00000196576	182	195	167	145	132	122	125	153
ENSG00000196588	2254	2175	2320	2311	1693	1741	1631	1590
ENSG00000197077	1239	1226	1260	1165	910	1125	1101	1121
ENSG00000198062	255	246	273	235	296	276	334	228
ENSG00000198089	1388	1585	1515	1432	1722	1640	1706	1551
ENSG00000198125	446	434	428	443	431	439	364	408
ENSG00000198951	337	299	294	297	226	298	303	242
ENSG00000205560	233	245	305	273	459	431	385	492
ENSG00000205643	215	161	193	182	163	130	140	141
ENSG00000205702	821	859	852	849	770	740	698	794
